gene_short_name,FPKM
PRAMEF36P,0
-,0
-,0
HNRNPCL3,0
PRAMEF26,0
PRAMEF9,0
HNRNPCL4,0
PRAMEF18,0
PRAMEF31P,0
PRAMEF5,0
PRAMEF32P,0
PRAMEF13,0
RNU6-771P,0
PRAMEF8,0
PRAMEF15,0
-,0
PRAMEF33,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
PRAMEF14,0
BRWD1P1,0
LRRC38,0.0734749
-,0
RNA5SP41,0
-,0
-,0
PDPN,10.5169
RERE,16.0323
RERE-AS1,0.284626
-,0
-,0.713146
RPL7P11,0.0781721
RPL7P7,0.45719
Y_RNA,0
-,2.47425
-,0.4258
RPL23AP19,0
ZBTB2P1,0.139551
PRDM2,4.245
-,0.580917
FHAD1,0.184341
FHAD1-AS1,0
-,0
EFHD2-AS1,0.248254
EFHD2,9.36161
CTRC,0.0407765
CELA2A,0
CELA2B,0
CASP9,3.41084
CHCHD2P6,0
RNU7-179P,0
CD24P1,0
KAZN,2.10532
TMEM51,6.56059
TMEM51-AS1,0
RNU6-1265P,0
-,0.172206
KAZN-AS1,0
TBCAP2,0.470597
-,0.561769
TMEM51-AS2,0.293057
MFFP1,0
-,0
DNAJC16,2.91747
-,0
AGMAT,0.674082
SCARNA21B,0
-,0.0774087
PLEKHM2,4.83983
SLC25A34,0
-,0
SLC25A34-AS1,0
TMEM82,0
RPL12P14,0
UQCRHL,1.35691
-,0
FBLIM1,6.87966
ZBTB17,3.9107
-,0
-,0
-,0
TBC1D3P6,0
SRARP,0
-,0
HSPB7,0.168777
CLCNKA,0
FAM131C2P,0
CLCNKB,0.0417012
FAM131C,0.112351
EPHA2,6.0681
EPHA2-AS1,0.193904
-,0
ARHGEF19-AS1,0
ARHGEF19,3.55587
-,0
ANO7L1,0
-,0
CPLANE2,0.369178
MT1XP1,0
FBXO42,0.320521
SZRD1,2.06703
SPATA21,0
RPL22P3,0
NECAP2,0.113771
LINC01772,0
CROCCP3,0.366962
CROCCP3,0
RNU1-1,0
-,0
-,0
-,0
LINC01783,0.330425
RNU1-6P,0
PDE4DIPP8,0
DDI2,4.19251
RSC1A1,6.42566
-,0
-,0.554429
CROCCP2,0
-,0
RNU1-3,344.273
-,0
MST1P2,0
NBPF1,0.923385
-,0
-,0
ESPNP,0
-,0
-,0
EIF1AXP1,0.328768
KIF1B,5.61926
RN7SL731P,0
-,0
RNU6-37P,11115
SPEN-AS1,0
SPEN,9.21549
-,0
PADI2,0
SDHB,15.7645
-,0
CROCC,0.761715
-,0
RNU1-4,0
CROCCP4,0
-,0.0112204
MST1L,0
-,0
PDE4DIPP9,0
MIR3675,0
-,0.0811589
RNU1-5P,0
-,0.412332
-,0
RNU1-2,0
-,0
-,0
LINC02783,0
-,0
PADI4,0
PADI3,0
MIR3972,0
PADI6,0
PADI1,0
MFAP2,36.695
-,0
-,0
ATP13A2,7.48314
-,0
LINC02810,0
-,0.0368108
LINC01654,0
ACTL8,0.118497
-,0
KLHDC7A,2.06873
DYNLL1P3,0
-,0
IGSF21,6.11811
-,0.592242
IGSF21-AS1,0
TAS1R2,0
RCC2-AS1,0
RCC2,54.3109
-,0
ALDH4A1,2.14353
MIR4695,0
MIR1290,0
IFFO2,1.11885
ARHGEF10L,2.65833
MRTO4,7.51483
-,0
AKR7L,0.0233261
AKR7A3,0.151899
-,0
AKR7A2,15.3114
RNU6-1099P,0
SLC66A1,5.28846
PAX7,3.90471
HTR6,0.137311
TMCO4,1.11186
RNF186,0
RNF186-AS1,0
OTUD3,1.4028
PLA2G2E,0
RN7SL304P,0
PLA2G2A,0
PLA2G5,0
PLA2G2D,0.0412737
PLA2G2F,0.0128243
-,0
PLA2G2C,0.387929
UBXN10,0.204216
LINC01757,0
-,0
CAPZB,45.9687
MICOS10,9.98909
NBL1,0
MICOS10-NBL1,0
RN7SL277P,0.356433
RNU4-28P,0
MICOS10-DT,0
-,1.4534
LINC01141,0.018594
-,0
-,0
-,0
CAMK2N1,3.0075
-,0.128619
MUL1,9.69639
RPS4XP4,0
FAM43B,0.205199
CDA,0.168524
EMC1-AS1,0
EMC1,10.273
VWA5B1,0.11121
-,0
VPS13D,1.84612
SNORA59A,0
-,0
SH2D5,1.07716
PINK1,6.92565
MIR6084,0
PINK1-AS,2.28088
DDOST,27.0346
KIF17,0.0674357
-,0
PPP1R11P1,0
PDE4DIPP10,0
-,0
NBPF2P,0
HS6ST1P1,0
CROCCP5,0.107895
NBPF3,1.86887
PFN1P10,0
ALPL,69.6602
-,0
LINC02596,0
HP1BP3,10.2221
ECE1,6.06887
ECE1-AS1,0
-,0.153897
MTOR,9.39164
MTOR-AS1,0
ANGPTL7,0
RNU6-537P,0
RNU6-291P,0
RPL39P6,0
-,0
-,0
RAP1GAP,1.6245
WNT4,0.216718
-,0
MIR4418,0
PPIAP34,0
-,0
USP48,13.165
-,0
EPHA8,0.570148
MIR6127,0
C1QA,0
-,0
C1QC,0.207795
C1QB,0
CELA3B,0
-,0
CELA3A,0
LINC00339,0
-,0
-,0
CDC42,20.2922
CDC42-IT1,0
LINC01635,0
CDC42-AS1,0
RN7SL386P,0
RNU6-1022P,0
RN7SL186P,0
RNU6-776P,0
MPHOSPH6P1,0.434776
LACTBL1,0
TEX46,0
ZBTB40,4.64181
ZBTB40-IT1,0
HTR1D,0.539444
RPL29P6,0
-,0
UBR4,19.0324
-,0
LINC01355,0.0479617
ZNF436,0
ZNF436-AS1,0
Y_RNA,0
-,0
TCEA3,0
-,0
EPHB2,1.87114
MIR4253,0
MIR4684,0
-,0
LDLRAD2,0
HSPG2,4.40197
RPL21P29,0
-,0
ID3,16.2894
-,0
MDS2,0
EEF1A1P48,0
E2F2,0.307545
RPL11,12.7042
PITHD1,5.55587
-,0
LYPLA2,12.7936
GALE,5.21124
HMGCL,1.01307
FUCA1,2.09692
CNR2,0.00607684
BTBD6P1,0
-,0
MIR378F,0
H3P1,0.195962
PNRC2,13.0837
ELOA-AS1,0
ELOA,8.39531
RPL36P5,0
-,0
MYOM3-AS1,0
MYOM3,0.0249835
IL22RA1,0.0223629
ASAP3,7.35251
IFNLR1,1.28317
-,0
GRHL3,0.293916
LINC02800,0.0297767
GRHL3-AS1,0
STPG1,1.60443
NIPAL3,1.5952
NCMAP,0.0126095
-,0
Y_RNA,0
NCMAP-DT,0
RCAN3,4.68272
-,0
KDM1A,21.8095
-,0
LUZP1,7.68945
-,0
MIR3115,0
-,0
-,0.104707
RNU6-514P,0
RNU6-135P,0
-,0.808744
RUNX3,0.0474891
MIR6731,0
RUNX3-AS1,0
-,0
MIR4425,0
LINC02793,0
-,0
IFITM3P7,0
-,0
CLIC4,25.6342
RNU6-1208P,0
-,0.334629
SYF2,12.043
-,0
TMEM50A,6.82656
RHCE,0
-,0.154456
RSRP1,7.50174
-,0
RHD,0
-,0.647275
-,0.93029
SDHDP6,0
MACO1,1.31722
-,0
SRRM1,22.2919
SRSF10,29.9999
LDLRAP1,4.29951
Y_RNA,0
-,0
PAQR7,1.82477
MAN1C1,1.66473
-,0.0205178
-,0
-,0
EXTL1,0.333618
PAFAH2,1.94925
RNU6-110P,0
-,0
TRIM63,0
SLC30A2,0.106786
SELENON,14.2022
-,0
MTFR1L,0
-,0
-,0
AUNIP,7.37237
C1orf232,0
FAM110D,0.0261135
ZNF593OS,0
ZNF593,23.08
STMN1,150.105
MIR3917,0
SNRPFP2,0
-,0
CATSPER4,0.0368455
ZPLD2P,0
ZPLD2P,0.207373
-,0
PDIK1L,1.65398
CNKSR1,1.53333
ZNF683,0.0999136
HNRNPR,25.1669
CEP85,3.39772
-,0.410657
SH3BGRL3,35.1761
CD52,0
UBXN11,11.4854
DPPA2P2,0
CRYBG2,0.476861
-,0
RN7SL679P,0
Y_RNA,0
RNU7-29P,0
-,0
-,0
-,0
-,0
LIN28A,180.217
HMGN2,21.111
RN7SL165P,0
-,0
EIF4G3,20.3831
-,0
RNU7-200P,0
MIR1256,0
RPS15AP6,1.6537
-,0
HSPE1P27,0.323138
SFN,0.943445
ZDHHC18,3.1713
DHDDS,9.78751
DHDDS-AS1,0
RPL17P9,0.702716
KDF1,5.77246
RPL12P13,0
RPL32P6,0
OSTCP2,0
GPATCH3,3.24652
NUDC,20.1132
NR0B2,0
TRNP1,4.66831
RPS6KA1,0.12109
MIR1976,0
-,0
CHCHD3P3,0.354327
TENT5B,16.4441
SNRPEP7,0
NPM1P39,0.449033
WDTC1-DT,0
-,0
GPN2,6.89862
-,0
-,0.698295
SYTL1,3.60883
TMEM222,3.9652
RNU6-48P,0
ACTG1P20,1.00722
FCN3,0
SLC9A1,6.81047
-,0
GPR3,3.13293
CD164L2,0.0908246
-,0
WASF2,15.7818
-,0
FGR,0
-,15.2435
LINC02574,0.0358152
IFI6,0.57022
-,0
RNU6-949P,0
CHMP1AP1,0
RNU6-424P,0
-,0.0643038
MAP3K6,0.871516
WDTC1,2.96607
Y_RNA,0
RNU6-1245P,0
STX12,0.979115
-,0
-,0
FAM76A,1.15076
-,0
RPEP3,0
RPA2,28.5072
-,0
PPP1R8,6.41929
SCARNA1,371.111
THEMIS2,1.00401
SPCS2P4,0.557023
-,0
-,0
ARL8BP2,0
RNU6-176P,0
PTAFR,0.146683
DNAJC8,37.2596
-,0
ATP5IF1,6.02663
-,0
-,0
SESN2,0.142071
MED18,0
SMPDL3B,18.6664
XKR8,6.25059
-,0
PIGV,0.827824
-,0.139044
TRNAU1AP,0
SNHG12,66.3555
SNORA61,0
SNORA44,0
SNORA16A,0
SNORA16A,0
SNORD99,0
RCC1,7.01706
SNHG3,41.1184
SNORA73A,636.315
SNORA73B,1302.3
PRDX3P2,0.391771
-,8384.55
RNU11,0
PHACTR4,13.2219
Y_RNA,0
DNAJC8P4,3.08805
RNU6ATAC27P,0
GMEB1,1.76648
-,0
TAF12,4.37863
TAF12-DT,0
RAB42,0.755416
Y_RNA,0
AHDC1,5.48744
EYA3,7.11227
-,0
RN7SL559P,0
-,0
OPRD1,0.118503
-,0
-,0
YTHDF2,32.7464
LINC01756,0.212154
-,0
-,0
-,0.0677998
-,0
LINC01648,0
-,0
-,0
-,0
-,0
-,0
MATN1,0
MATN1-AS1,0
-,0
LAPTM5,0.0694372
MIR4420,0
-,0
LINC01778,0
RN7SKP91,0
-,0
MECR,5.26971
-,0.449709
RN7SL371P,0
SDC3,11.1286
SELENOWP1,0
RPL21P22,0
NKAIN1,13.7223
SNRNP40,18.8866
-,3.0393
SRSF4,25.8117
-,0
FABP3,4.73536
ZCCHC17,1.84387
-,0
EEF1A1P46,0
RNU6-40P,0
SERINC2,7.01409
LDC1P,0.0277166
LDC1P,0
LINC01226,0.0128976
TINAGL1,0.108558
Y_RNA,0
-,0
PTPRU,3.55044
HCRTR1,0
PEF1-AS1,0
-,0
PEF1,12.7318
COL16A1,0
-,0
SPOCD1,0.203037
-,0
EPB41,7.96493
TMEM200B,0
-,0.95665
Y_RNA,0
Metazoa_SRP,0
KHDRBS1,22.4776
-,0.0781746
TMEM39B,7.36081
MIR5585,0
Metazoa_SRP,0
-,0
-,0.193652
PTP4A2,30.9132
-,0
-,0
-,0
-,0
ARID1A,42.3316
TXLNA,8.68978
FAM167B,0.452859
CCDC28B,0.423738
IQCC,1.17013
-,0
Y_RNA,0
KPNA6,9.88196
-,0
HDAC1,2.33859
-,0
LCK,1.85743
Metazoa_SRP,0
MARCKSL1,511.034
GAPDHP20,0
-,0
LRRC37A12P,0.135762
TSSK3,0
FAM229A,0.874803
RN7SL122P,0
ADGRB2,3.26399
MIR4254,0
-,0
BSDC1,9.75255
-,1.74552
ZBTB8B,0.533933
ZBTB8A,0.996958
ZBTB8OS,0
Y_RNA,0
DCDC2B,0
EIF3I,43.9872
-,0
TMEM234,0
-,0
MTMR9LP,0
NHSL3,7.40572
YARS1,24.6122
S100PBP,4.57573
-,0
-,0
HPCA,0.864999
TMEM54,3.88499
FNDC5,0.427695
-,0.130286
-,0
RNF19B,4.36093
-,0
TRIM62,5.29412
-,0
ZNF362,6.33544
-,1.01381
TLR12P,0
AZIN2,0.40699
-,0.040753
RBBP4,8.25455
SYNC,0
C1orf94,0.946088
-,0
-,0.069817
MIR552,0
A3GALT2,0
PHC2,5.9946
MIR3605,0
-,0
RN7SKP16,4.21853
PHC2-AS1,0.133016
DLGAP3,1.85411
ZSCAN20,0.542513
SMIM12,3.62507
-,0
GJB5,0
GJB4,0
-,0
GJB3,0.141005
GJA4,0.263982
EFCAB14P1,0.143918
-,0
-,0
-,0
AK2,44.0256
Metazoa_SRP,0
Y_RNA,0
SFPQ,48.5132
-,0
GPR199P,0
GPR199P,0
TMEM35B,2.05161
-,0.731892
ZMYM6,1.22901
TFAP2E-AS1,0
TFAP2E,0.240888
C1orf216,2.39558
PSMB2,26.6093
ZMYM1,2.66142
RPL12P45,0
AGO4,0.71193
CLSPN,6.57729
-,0
-,0
-,0
TEKT2,0.106895
ADPRS,2.98567
COL8A2,0.113676
PUM1,24.1139
-,1.09848
-,0
RN7SL131P,0
TRAPPC3,16.0273
MAP7D1,5.16705
THRAP3,23.0203
UBE2V2P4,0
ZMYM4,7.02931
NCDN,0
ZMYM4-AS1,0
KIAA0319L,5.47184
RN7SL503P,0
SNORA62,0
RPL5P4,2.02096
Metazoa_SRP,0
-,0.108116
-,0.243508
LSM10,6.87764
RNU4-27P,0
OSCP1,1.42056
SNORA63C,0
MRPS15,71.3954
SH3D21,1.18858
EVA1B,8.90448
FTLP18,0
-,0
-,0
-,0
CSF3R,0.0327089
-,0
-,0.0194484
MIR4255,0
RNU6-636P,0
RNA5SP43,0
RPS29P6,0
LITATS1,0.0578531
ZC3H12A,1.34293
MIR6732,0
STK40,7.12767
AGO3,0.576234
-,0
RPS27P9,0
SNIP1,7.0667
FTH1P1,0.864767
-,0
RSPO1,0
CSMD2,3.0454
HSPD1P14,0.112363
HMGB4,0.393848
CSMD2-AS1,0.872496
RNA5SP42,0
GRIK3,2.0772
CDCA8,5.11609
ACTN4P2,0
-,0
MEAF6,10.4531
MIR5581,0
EPHA10,0.0165371
Y_RNA,0
YRDC,8.53537
C1orf122,9.95519
MANEAL,1.5313
-,0
Metazoa_SRP,0
DNALI1,0
GNL2,98.9642
RNU6-510P,0
AIRIM,4.56014
FHL3,14.882
POU3F1,3.71619
MIR3659HG,0
-,0
MIR3659,0
LINC02786,0
-,0
UTP11,4.05634
-,0.314496
MTF1,1.61084
-,0.416168
RNU6-753P,0
-,0.104986
LINC01343,0.0401176
-,0.122645
HSPA5P1,0.0121211
SF3A3,23.0761
LINC01685,0.0512781
NDUFS5,85.7904
AGO1,12.2828
-,0
CFAP97P1,0
-,0.190325
AKIRIN1,52.8848
INPP5B-AS1,0
INPP5B,3.83176
SNORA63,0
RNU6-584P,0
HEYL,0.126764
-,0
RRAGC,5.1923
-,0
MYCBP,4.21634
-,0
GJA9,0
RHBDL2,0
RRAGC-DT,0
RNU6-605P,0
Y_RNA,0
EIF1P2,0
NT5C1A,0.0145291
-,0
-,0
-,0
LINC02811,0
HPCAL4,0.0134644
BMP8A,0.18965
PPIEL,1.77569
PPIEL,0
OXCT2P1,0.0487222
Y_RNA,0
MYCL,4.88719
MYCL-AS1,0
MFSD2A,3.05125
-,0.111708
PPIE,1.8315
-,0
BMP8B,0
-,0
RNU7-121P,0
OXCT2,0.0398093
BMP8B-AS1,0
OAZ1P1,0
RLF,3.03252
RNU6-1237P,0
TMCO2,0
ZMPSTE24-DT,1.09902
ZMPSTE24,8.36732
-,0
COL9A2,0.71115
RPL21P20,0
CAP1,14.6867
-,0
SMAP2,1.0115
-,0
-,0
-,0.788598
-,0
PABPC4,72.0994
SNORA55,0
PABPC4-AS1,0
ZFP69B,0.842747
ZFP69,0.558848
EXO5-DT,0.366981
-,0
-,0
GTF2F2P2,0
ZNF684,0.654839
-,0
EXO5,1.2691
-,0
-,0
RIMS3,1.18751
-,0
CITED4,7.9715
-,0
-,0
-,0
UBE2V1P8,0
NFYC-AS1,1.73798
NFYC,8.02209
MIR30E,0
MIR30C1,0
KCNQ4,0.116369
RN7SL326P,0
FOXO6,0
FOXO6-AS1,0
RNA5SP45,0
EDN2,0
PPT1,31.2281
-,0
HNRNPFP1,0.0428691
-,0
GUCA2B,0
GUCA2A,0
TRIT1,4.02625
Y_RNA,0
SLFNL1-AS1,0.922243
SLFNL1,0
SCMH1,3.46488
RPL23AP17,0
-,0
SCMH1-DT,0.138223
RPL36AP9,0
-,0
-,0
RIMKLA,0.170564
-,0
ZMYND12,0
PPCS,5.12733
CCDC30,0
RPS3AP11,0
TMSB4XP1,0
RNU6-536P,0
-,0
YBX1,82.1073
PPIH,8.47984
-,0
-,1.00801
FOXJ3,12.1349
-,0.0931135
CLDN19,0.132823
HIVEP3,0.103541
-,0
-,0
-,0
-,0
MKRN8P,0
ZNF691,4.49666
ATP6V1E1P1,0.140418
SLC2A1-DT,0.382199
-,0
RNU6-880P,0
U6,0
-,0.154721
CFAP144,0
C1orf50,0.905734
-,0
TMEM269,0
ERMAP,0.764796
C1orf50-AS1,0
SVBP,9.32521
ZNF691-DT,0
C1orf210,1.52494
TIE1,0
EBNA1BP2,18.3608
MIR6733,0
CFAP57,0
RNA5SP46,0
TMEM125,1.12282
CDC20-DT,0
MPL,0.0418685
-,0
CDC20,13.818
-,0
P3H1,4.16393
MED8,3.37926
MED8-AS1,0
ELOVL1,6.23016
MIR6734,0
-,0
SLC2A1,48.5117
ATP6V0CP4,0.653135
ARTN,1.63656
LINC02918,0.236052
-,0.116293
CTPS1,2.98739
IPO13,1.27538
-,0
DPH2,10.9583
ATP6V0B,5.00204
B4GALT2,5.06763
RN7SL479P,0
KLF17,0.0523915
-,4.10125
KLF18,0
-,0
Y_RNA,0
OOSP1P1,0
-,0
-,0
DMAP1,1.98552
ERI3,16.0609
ERI3-IT1,0.505651
RNU6-369P,0
CCDC24,1.4308
SLC6A9,2.5255
-,0.0583143
KRT8P47,0
-,0
ARMH1,0
RNU5F-1,0
RNU5D-1,0
KDM4A,3.01669
-,0
ST3GAL3,0
MIR6079,0
KDM4A-AS1,0.545618
ST3GAL3-AS1,0
U6,0
-,0
SHMT1P1,0.114829
RNF220,10.355
TMEM53,0
MIR5584,0
SZT2,1.79378
MIR6735,0
HYI-AS1,0
SZT2-AS1,0
HYI,0
RPS15AP11,0.517877
-,0
BEST4,0.0671915
BTBD19,0.43147
-,0
PLK3,1.33394
DYNLT4,0
PPIAP35,0
MRPS17P1,0.00719146
PTCH2,0.602415
RNU5E-6P,0
EIF2B3,10.2612
CCNB1IP1P1,0
RNA5SP47,0
HPDL,4.16286
KIF2C,0
RPS8,198.369
SNORD55,0
SNORD38A,0
SNORD38B,0
SNORD38B,0
-,0
SNORD46,0
ZSWIM5,1.62423
LINC01144,0
OSTCP5,1.65174
HECTD3,6.37798
UROD,37.8242
CCDC163,0.661498
AKR1A1,17.9074
MMACHC,0
PRDX1,154.078
HMGB1P48,0
CCDC17,1.24927
MUTYH,2.62438
-,0
TESK2,1.68115
TOE1,4.72526
PPIAP36,0.502976
RPL6P1,0
TMEM69,8.57655
IPP,0.744584
-,0
-,0
NASP,48.8861
GPBP1L1,15.0375
RPS15AP10,3.99731
RPL7AP16,0.68252
MAST2,3.63329
TMA16P2,0.538907
UQCRH,234.395
RAD54L,3.79396
LRRC41,10.424
-,0
NSUN4,1.73516
FAAH,1.18734
FAAHP1,0
-,1.23474
LINC01398,0.0486037
PTPRF,14.7526
DMBX1,0.174756
PIK3R3,3.04296
P3R3URF-PIK3R3,0
P3R3URF,0
-,0.276985
COX7BP4,0
-,0
TSPAN1,0
-,0
CYP4B1,0
CYP4Z2P,0
CYP4Z2P,0
TUBAP8,0
CYP4A11,0.026042
CYP4A26P,0
CYP4A43P,0
CYP4A27P,0
CYP4A44P,0
CYP4X1,0.190566
CYP4Z1,0.0086924
TUBAP9,0
CYP4A22-AS1,0.057044
-,0
LINC00853,0
CYP4A22,0
MTND1P34,0.176262
PDZK1IP1,0
TMEM275,0.0269021
MKNK1-AS1,0
MKNK1,1.85828
